YEAR,COUNTRY,LOCATION,ALL_FATALITIES
2003,ALGERIA,N. ALGERIA,2266.0
2003,ALGERIA,ALGIERS,9.0
2004,INDONESIA,KEPULAUAN ALOR,34.0
2004,INDONESIA,OFF W. COAST OF SUMATRA,227899.0
2005,INDONESIA,INDONESIA,1313.0
2006,INDONESIA,SERAM ISLAND,4.0
2006,INDONESIA,SOUTH OF JAVA,802.0
2006,CHINA,TAIWAN,2.0
2007,JAPAN,HONSHU: W COAST,1.0
2007,SOLOMON ISLANDS,SOLOMON ISLANDS,54.0
2007,CHILE,SOUTHERN CHILE,10.0
2007,JAPAN,HONSHU: W COAST,9.0
2007,RUSSIA,TATAR STRAIT,2.0
2007,PERU,S. PERU,514.0
2007,INDONESIA,SUMATRA,25.0
2007,CHILE,NORTHERN CHILE,2.0
2008,CHINA,SICHUAN PROVINCE,87652.0
2008,JAPAN,HOKKAIDO ISLAND,6.0
2008,INDONESIA,SULAWESI,6.0
2009,INDONESIA,NEAR NORTH COAST,5.0
2009,HONDURAS,OFF COAST,7.0
2009,JAPAN,HONSHU: S COAST,1.0
2009,SAMOA,SAMOA ISLANDS,192.0
2009,INDONESIA,SUMATRA,1117.0
2010,HAITI,HAITI & DOMINICAN REPUBLIC,316000.0
2010,CHILE,CENTRAL CHILE,558.0
2010,PERU,"513 LAKE, HUALCAN GLACIER",1.0
2010,INDONESIA,SUMATRA,431.0
2011,JAPAN,HONSHU ISLAND,18453.0
2011,JAPAN,E. COAST HONSHU ISLAND,3.0
2012,MEXICO,S. MEXICO,2.0
2012,INDONESIA,OFF W. COAST OF N SUMATRA,10.0
2012,PHILIPPINES,PHILIPPINE ISLANDS,1.0
2012,COSTA RICA,COSTA RICA,2.0
2012,CANADA,BRITISH COLUMBIA,1.0
2012,GUATEMALA,GUATEMALA,48.0
2013,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,10.0
2013,PAKISTAN,OFF COAST GWADAR,386.0
2014,EL SALVADOR,GULF OF FONSECA,1.0
2015,CHILE,CENTRAL CHILE,15.0
2015,GREECE,IONIAN SEA,2.0
2016,ECUADOR,OFF COAST,662.0
2016,NEW ZEALAND,OFF EAST COAST OF SOUTH ISLAND,2.0
2016,SOLOMON ISLANDS,SOLOMON ISLANDS,1.0
