YEAR,COUNTRY,LOCATION,FATALITY_TOTAL
1867,GREECE,"PELOPONNESUS, GREECE",2.0
1867,USA TERRITORY,VIRGIN ISLANDS,1.0
1867,TAIWAN,E. CHINA SEA,3.0
1868,USA,HAWAII,2.0
1868,CHILE,NORTHERN CHILE,4.0
1868,USA,N. CALIFORNIA,1.0
1870,MEXICO,"PUERTO ANGEL, MEXICO",1.0
1870,GREECE,IONIAN SEA,2.0
1871,INDONESIA,RUANG,3.0
1871,PHILIPPINES,SULU SEA,1.0
1872,JAPAN,SW. HONSHU ISLAND,3.0
1873,PAPUA NEW GUINEA,MACLAY COAST,2.0
1874,BANGLADESH,SUNDERBANS,4.0
1875,NEW CALEDONIA,"LIFOU ISLAND, LOYALTY ISLANDS",1.0
1877,CHILE,NORTHERN CHILE,4.0
1878,CHILE,NORTHERN CHILE,1.0
1878,PERU,CENTRAL PERU,1.0
1878,PAPUA NEW GUINEA,BISMARCK SEA,1.0
1878,TURKEY,GULF OF IZMIT,1.0
1878,USA,S. CALIFORNIA,1.0
1880,PHILIPPINES,E. LUZON ISLAND,1.0
1880,CHILE,CENTRAL CHILE,1.0
1882,PANAMA,SAN BLAS ARCHIPELAGO,3.0
1882,TAIWAN,SOUTH CHINA SEA,1.0
1883,INDONESIA,KRAKATAU,4.0
1883,USA,"COOK INLET, AK",1.0
1884,URUGUAY,MONTEVIDEO,2.0
1887,MEXICO,N. MEXICO,1.0
1888,PAPUA NEW GUINEA,RITTER ISLAND,3.0
1890,IRAN,CASPIAN SEA,3.0
1892,INDONESIA,"AWU VOLCANO, SANGIHE ISLAND",4.0
1892,JAPAN,SW. HONSHU ISLAND,1.0
1894,JAPAN,SE. HOKKAIDO ISLAND,1.0
1894,JAPAN,"YAMAGATA, JAPAN",3.0
1894,ITALY,CALABRIAN ARC,3.0
1894,USA,"PUYALLUP RIVER DELTA, TACOMA, WA",1.0
1895,PAPUA NEW GUINEA,SOLOMON SEA,2.0
1896,JAMAICA,KINGSTON,3.0
1896,JAPAN,SANRIKU,4.0
1897,INDIA,ASSAM,4.0
1897,PHILIPPINES,SULU SEA,1.0
1897,PHILIPPINES,SAMAR ISLAND,1.0
1898,CHILE,CENTRAL CHILE,1.0
1899,PAPUA NEW GUINEA,"EAST COAST, NEW IRELAND",3.0
1899,PORTUGAL,AZORES,1.0
1899,INDONESIA,BANDA SEA,4.0
1900,USA,"LITUYA BAY, AK",1.0
1900,INDONESIA,BISMARCK SEA,1.0
1901,BULGARIA,BLACK SEA,1.0
1901,NEW CALEDONIA,LOYALTY ISLANDS,1.0
1901,JAPAN,OFF NORTHEAST COAST HONSHU,1.0
1902,EL SALVADOR,EL SALVADOR-GUATEMALA,3.0
1902,GUATEMALA,OCOS,4.0
1902,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE,1.0
1902,SAINT VINCENT AND THE GRENADINES,SOUFRIERE VOLCANO,4.0
1902,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE,4.0
1902,PHILIPPINES,"ILLANA BAY, CELEBES SEA",3.0
1902,MARTINIQUE (FRENCH TERRITORY),MOUNT PELEE,3.0
1903,CHILE,NORTHERN CHILE,1.0
1905,NORWAY,LOEN,2.0
1905,INDIA,"KANGRA, INDIA",4.0
1905,JAPAN,JAPAN:  OFF FUKUSHIMA,2.0
1906,ECUADOR,OFF COAST,3.0
1906,CHILE,CENTRAL CHILE,4.0
