ID,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,COUNTRY,REGION,CAUSE,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY,DEATHS_TOTAL_DESCRIPTION,DAMAGE_TOTAL_DESCRIPTION,LOCATION_NAME
2749,2006,5.0,3.0,-20.187,-174.123,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,8.0,55.0,0.0,,Limited (<$1 million),TONGA
2771,1934,6.0,3.0,66.0,-18.25,ICELAND,Northeast Atlantic Ocean,Earthquake,0.0,,0.0,,,ICELAND
2772,1903,2.0,10.0,14.0,143.3,USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,0.0,,2.0,,Limited (<$1 million),"GUAM, MARIANA ISLANDS"
2812,1900,8.0,11.0,58.6,-137.5,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,0.0,,0.0,Few (~1 to 50 people),Limited (<$1 million),"LITUYA BAY, AK"
2792,1917,12.0,6.0,44.633,-63.583,CANADA,"East Coast USA and Canada, St Pierre and Miquelon",Explosion,0.0,,0.0,Very Many (~1001 or more people),,"HALIFAX, NOVA SCOTIA"
2832,2006,7.0,17.0,-9.254,107.411,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,7.7,34.0,0.0,Many (~101 to 1000 people),Extreme (~$25 million or more),SOUTH OF JAVA
2881,1902,5.0,5.0,14.82,-61.17,MARTINIQUE (FRENCH TERRITORY),Caribbean Sea,Volcano and Landslide,0.0,,0.0,Few (~1 to 50 people),,MOUNT PELEE
2873,1902,5.0,7.0,13.33,-61.18,SAINT VINCENT AND THE GRENADINES,Caribbean Sea,Volcano,0.0,,0.0,Very Many (~1001 or more people),,SOUFRIERE VOLCANO
2920,1991,1.0,4.0,37.7,26.3,GREECE,Mediterranean Sea,Unknown,0.0,,0.0,,,EAST AEGEAN SEA
2879,1975,4.0,27.0,53.98,-128.68,CANADA,West Coast of North and Central America,Landslide,0.0,,0.0,,Moderate (~$1 to $5 million),"KITIMAT INLET, BRITISH COLUMBIA"
2878,1968,5.0,4.0,-27.15,-109.45,CHILE,West Coast of South America,Unknown,0.0,,0.0,,Limited (<$1 million),EASTER ISLAND REGION
2923,2002,12.0,30.0,38.789,15.213,ITALY,Mediterranean Sea,Volcano and Landslide,0.0,,5.0,,Moderate (~$1 to $5 million),STROMBOLI ISLAND
2880,1999,1.0,20.0,16.722,-62.18,MONTSERRAT,Caribbean Sea,Volcano,0.0,,0.0,,,SOUFRIERE HILLS VOLCANO
2877,2006,5.0,20.0,16.722,-62.18,MONTSERRAT,Caribbean Sea,Volcano,0.0,,0.0,,Limited (<$1 million),SOUFRIERE HILLS VOLCANO
2913,1978,6.0,21.0,42.0,16.0,ITALY,Mediterranean Sea,Unknown,0.0,,4.0,,Limited (<$1 million),"EASTERN ITALY, ADRIATIC SEA"
3016,2006,11.0,15.0,46.592,153.266,RUSSIA,Kamchatka and Kuril Islands,Earthquake,8.3,10.0,0.0,,Moderate (~$1 to $5 million),S. KURIL ISLANDS
3015,2003,12.0,27.0,-22.107,169.35,NEW CALEDONIA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,6.1,10.0,0.0,,,LOYALTY ISLANDS
3012,2004,11.0,2.0,49.277,-128.77200000000002,CANADA,West Coast of North and Central America,Earthquake,6.6,10.0,0.0,,,VANCOUVER ISLAND
2972,2006,9.0,28.0,-16.592,-172.033,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,6.9,28.0,0.0,,,SAMOA ISLANDS
2922,2000,4.0,5.0,34.22,25.69,GREECE,Mediterranean Sea,Earthquake and Landslide,5.5,38.0,0.0,,,CRETE
2917,1983,1.0,17.0,38.026,20.228,GREECE,Mediterranean Sea,Earthquake,7.2,,0.0,,,IONIAN SEA
2915,1979,5.0,15.0,34.53,24.437,GREECE,Mediterranean Sea,Earthquake,5.6,33.0,1.0,,,CRETE
2914,1979,4.0,9.0,41.956,19.023,MONTENEGRO,Mediterranean Sea,Earthquake,5.3,10.0,0.0,,,MONTENEGRO: BAR ULCINJ
2892,1906,2.0,21.0,3.9,-77.033,COLOMBIA,West Coast of South America,Earthquake,0.0,,0.0,,,BUENAVENTURA
3014,2004,12.0,23.0,-49.312,161.345,AUSTRALIA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,8.1,10.0,0.0,,,MACQUARIE ISLAND
2921,2004,11.0,28.0,43.006,145.119,JAPAN,Japan,Earthquake,7.0,39.0,0.0,,Moderate (~$1 to $5 million),HOKKAIDO ISLAND
3013,2004,11.0,11.0,-8.152000000000001,124.868,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,7.5,10.0,0.0,Few (~1 to 50 people),Severe (~>$5 to $24 million),KEPULAUAN ALOR
2953,2003,8.0,21.0,-45.104,167.144,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake and Landslide,7.2,28.0,0.0,,Limited (<$1 million),SOUTH ISLAND
2919,1989,10.0,29.0,36.788,2.448,ALGERIA,Mediterranean Sea,Earthquake,5.9,,0.0,,,"ALGIERS, CHERCHELL, TIPAZA"
2916,1980,10.0,10.0,36.195,1.354,ALGERIA,Mediterranean Sea,Earthquake and Landslide,7.7,10.0,2.0,Very Many (~1001 or more people),Extreme (~$25 million or more),EL ASNAM
2875,2006,3.0,14.0,-3.595,127.214,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,6.7,30.0,0.0,Few (~1 to 50 people),Moderate (~$1 to $5 million),SERAM ISLAND
2872,1969,3.0,21.0,19.077,122.202,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Volcano,0.0,,0.0,Few (~1 to 50 people),,LUZON ISLAND
3042,1965,3.0,9.0,39.4,24.0,GREECE,Mediterranean Sea,Earthquake,6.3,18.0,0.0,Few (~1 to 50 people),Severe (~>$5 to $24 million),AEGEAN SEA
3019,2007,1.0,13.0,46.243,154.524,RUSSIA,Kamchatka and Kuril Islands,Earthquake,8.1,10.0,0.0,,,S. KURIL ISLANDS
3018,1980,5.0,18.0,46.2,-122.18,USA,West Coast of North and Central America,Volcano,0.0,,0.0,Some (~51 to 100 people),,WASHINGTON
3038,2007,3.0,25.0,-20.617,169.357,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,7.1,34.0,0.0,,,VANUATU ISLANDS
3035,2007,3.0,25.0,37.336,136.588,JAPAN,Japan,Earthquake,6.7,8.0,0.0,Few (~1 to 50 people),Severe (~>$5 to $24 million),HONSHU: W COAST
3034,1997,9.0,30.0,31.959,141.878,JAPAN,Japan,Earthquake,6.2,10.0,0.0,,,S. OF HONSHU ISLAND
3033,1966,12.0,31.0,-12.334,166.68400000000003,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,7.2,23.0,0.0,,,SANTA CRUZ ISLANDS
3017,2006,10.0,15.0,19.878,-155.935,USA,"Hawaii, Johnston Atoll, Midway I",Earthquake,6.7,39.0,0.0,,Moderate (~$1 to $5 million),HAWAII
3037,2007,4.0,1.0,-8.46,157.04399999999998,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,8.1,10.0,0.0,Some (~51 to 100 people),Severe (~>$5 to $24 million),SOLOMON ISLANDS
3147,1916,7.0,3.0,38.817,15.233,ITALY,Mediterranean Sea,Earthquake,5.1,,4.0,,Limited (<$1 million),STROMBOLI ISLAND
3156,2007,8.0,2.0,51.307,-179.97099999999998,USA,Alaska (including Aleutian Islands),Earthquake,6.7,21.0,0.0,,,"ALEUTIAN ISLANDS, AK"
3155,2007,8.0,2.0,47.11600000000001,141.798,RUSSIA,Kamchatka and Kuril Islands,Earthquake,6.2,5.0,0.0,Few (~1 to 50 people),Limited (<$1 million),TATAR STRAIT
3145,1951,2.0,22.0,-3.252,142.238,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,6.1,25.0,0.0,,Limited (<$1 million),BISMARCK SEA
3104,2007,7.0,16.0,37.57,138.47799999999998,JAPAN,Japan,Earthquake,6.6,10.0,0.0,Few (~1 to 50 people),Severe (~>$5 to $24 million),HONSHU: W COAST
3073,1970,5.0,14.0,43.0,47.1,RUSSIA,Black Sea and Caspian Sea,Earthquake,6.5,44.0,0.0,Many (~101 to 1000 people),Moderate (~$1 to $5 million),CASPIAN SEA
3052,1930,5.0,5.0,17.3,96.5,MYANMAR (BURMA),Indian Ocean (including west coast of Australia),Earthquake,7.3,,0.0,Many (~101 to 1000 people),Severe (~>$5 to $24 million),MYANMAR COAST
3044,2007,4.0,21.0,-45.285,-72.60600000000001,CHILE,West Coast of South America,Earthquake and Landslide,6.2,,0.0,Few (~1 to 50 people),Limited (<$1 million),SOUTHERN CHILE
